,allD
Cr_1,-0.002844826552985433
Cr_2,0.011339232106632213
Cr_3,0.010033509965560029
Cr_4,0.00933938966721394
Cr_5,0.018460022294528138
Cr_6,0.024612478446229567
Fe_1,-0.01459191111074054
Fe_2,-0.024300495370743958
Fe_3,-0.02045162237498933
Fe_4,-0.029154049083646362
Fe_5,-0.031744095325595766
Fe_6,-0.034368095244115146
Cd_1,0.001697540990965824
Cd_2,0.016136317409037926
Cd_3,0.03037306269637233
Cd_4,0.05006145125173169
Cd_5,0.0590024051680705
Cd_6,0.060308679928553925
Zn_1,-0.028614450459331288
Zn_2,-0.05031183594146767
Zn_3,-0.00028720591730677883
Zn_4,-0.013711151402069284
Zn_5,-0.0896058630065549
Zn_6,-0.06417306704675779
Cu_1,0.005010556195982936
Cu_2,0.004707317029312864
Cu_3,0.009707211606796554
Cu_4,0.009299116328529138
Cu_5,0.0012161384322798175
Cu_6,0.006567986562729345
Pb_1,-0.00594820788490395
Pb_2,-2.2363069876539104e-05
Pb_3,0.004709110178556371
Pb_4,0.014006450131364184
Pb_5,0.020689232637159168
Pb_6,0.03147462723041387
